Index,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,H,H,H,H,H
19,S,S,S,S,S,H,H,H,H,H
18,S,S,S,S,S,H,H,H,H,H
17,S,S,S,S,S,H,H,H,H,Sur
16,S,S,S,S,S,H,H,H,Sur,Sur
15,S,S,S,S,S,H,H,H,Sur,Sur
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D
10,D,D,D,D,D,D,D,D,H,H
9,D,D,D,D,D,H,H,H,H,H
8,S,S,S,S,S,H,H,H,H,H
7,S,S,S,S,S,H,H,H,H,H
6,S,S,S,S,S,H,H,H,H,H
5,S,S,S,S,S,H,H,H,H,H
4,S,S,S,S,S,H,H,H,H,H
3,S,S,S,S,S,H,H,H,H,H
2,S,S,S,S,S,H,H,H,H,H
